label,n_symbols,leverage,base_per_entry,final_on_100,cagr,mdd,n_days,n_trades,trades_per_active_day,win_rate,mean_per_entry,median_per_entry,p_ge_10,p_le_m10,best_entry,worst_entry,total_pnl,gross_profit,best_trade_share_of_profit,total_ex_top5,ruin_prob,n_unique_symbols,n_candidates,n_rejected_unfunded,tag,window
N25_L1,25,1.0,4.0,181.63483946283964,0.09103510716846896,0.21952723731033663,2502,1156,0.46203037569944044,0.4108996539792388,0.0706183732377509,-0.16068075300474982,0.0,0.0,9.155202313483574,-3.0297468424626333,81.63483946284005,398.3872573511614,0.11214822462719483,47.10693987194758,0.0,114,2170,0,N25_L1,FULL
N25_L1,25,1.0,4.0,174.09468287939055,0.0957340300530578,0.21952723731033663,2215,990,0.4469525959367946,0.4131313131313131,0.07711748222961617,-0.16148641459472973,0.0,0.0,9.155202313483574,-3.0297468424626333,76.34630740732001,349.0356159934439,0.11991676643428313,41.818407816427495,0.0,106,2170,0,N25_L1,IS
N40_L1,40,1.0,2.5,167.17417609183113,0.07790120073812501,0.2534447369273415,2502,1808,0.7226219024780176,0.4032079646017699,0.03715385845787126,-0.10063764123480845,0.0,0.0,5.7220014459272335,-2.5,67.17417609183124,388.7299699109803,0.08518156498272349,42.983623201772865,0.0,148,3431,0,N40_L1,FULL
N40_L1,40,1.0,2.5,167.59102076965246,0.08887642147946928,0.2534447369273415,2215,1542,0.6961625282167043,0.4053177691309987,0.04409779487250258,-0.10129939096999313,0.0,0.0,5.7220014459272335,-2.5,67.99879969339898,342.2566365200977,0.08414856544126174,43.80824680334055,0.0,126,3431,0,N40_L1,IS
Nall_L1,259,1.0,0.3861003861003861,129.7738898751269,0.03877968820252531,0.13989720106548598,2502,5231,2.0907274180655477,0.39399732364748613,0.005691816072476933,-0.015894354625506348,0.0,0.0,4.05883997621484,-0.3861003861003861,29.773889875126837,174.90776942544957,0.13632212630723817,20.83114738817579,0.0,264,10287,0,Nall_L1,FULL
Nall_L1,259,1.0,0.3861003861003861,122.65671208161925,0.03424887779067731,0.11908762529845918,2215,3842,1.7345372460496613,0.4021343050494534,0.008151393019233472,-0.015202538258560784,0.0,0.0,4.05883997621484,-0.3861003861003861,31.317651979895,135.13974401653883,0.1296023079514548,22.37490949294232,0.0,185,10287,0,Nall_L1,IS
ROT_L1,1,1.0,100.0,95.02449217608857,-0.00742264361216427,0.6359676198380143,2502,15,0.005995203836930456,0.3333333333333333,-0.33170052159409025,-5.410005882931447,0.26666666666666666,0.4,56.50250612080869,-49.953325937783575,-4.975507823911354,187.60654895619945,,-192.58205678011078,0.4349,9,10287,10057,ROT_L1,FULL
ROT_L1,1,1.0,100.0,95.02449217608857,-0.008380363148999148,0.6359676198380143,2215,15,0.006772009029345372,0.3333333333333333,-0.33170052159409025,-5.410005882931447,0.26666666666666666,0.4,56.50250612080869,-49.953325937783575,-4.975507823911354,187.60654895619945,,-192.58205678011078,0.4349,9,10287,10057,ROT_L1,IS
N1_L2,1,2.0,100.0,505.8315723550803,0.26698959523373067,0.40694639035425706,2502,52,0.020783373301358914,0.38461538461538464,7.80445331452078,-7.053864449913047,0.28846153846153844,0.40384615384615385,113.00501224161738,-43.950794596331455,405.83157235508054,873.0694944983188,0.2784529837977814,-85.99021896340855,0.1986,1,103,0,N1_L2,FULL
N1_L2,1,2.0,100.0,521.2765808687641,0.31293557318541443,0.40694639035425706,2215,46,0.02076749435665914,0.3695652173913043,9.10884956055379,-8.125290466734654,0.30434782608695654,0.41304347826086957,113.00501224161738,-43.950794596331455,419.00707978547433,853.2774642622171,0.2696971428250671,-72.81471153301479,0.1813,1,103,0,N1_L2,IS
N3_L2,3,2.0,33.333333333333336,311.01853296742985,0.18015356601872923,0.7076961954266305,2502,143,0.057154276578737014,0.3706293706293706,1.4756540766953157,-2.606879630452923,0.16783216783216784,0.11188811188811189,245.63409252274138,-33.333333333333336,211.01853296743013,775.4884267033295,1.1640403763050235,-165.09851343719117,0.3435,9,278,0,N3_L2,FULL
N3_L2,3,2.0,33.333333333333336,320.4864627863946,0.21173378987837665,0.7076961954266305,2215,123,0.05553047404063206,0.35772357723577236,1.7925728681820703,-2.7287245152921176,0.17886178861788618,0.12195121951219512,245.63409252274138,-33.333333333333336,220.48646278639464,732.2951875106489,1.1140552096420975,-155.63058361822667,0.3111,9,278,0,N3_L2,IS
N5_L2,5,2.0,20.0,147.3761971577499,0.0582482651744205,0.49664032885039344,2502,238,0.09512390087929656,0.36554621848739494,0.19905965192331948,-1.7082593955958267,0.09243697478991597,0.012605042016806723,46.72121568271073,-20.0,47.376197157750035,630.8036172589785,0.9861748828666346,-115.45687487836679,0.287,20,452,0,N5_L2,FULL
N5_L2,5,2.0,20.0,146.26229814170196,0.06470690510175126,0.4240517813895437,2215,203,0.09164785553047404,0.35467980295566504,0.20261272488212553,-1.8302046406372707,0.08866995073891626,0.009852216748768473,46.72121568271073,-13.434536571008554,41.130383151071484,537.8031108652477,1.1359295027985559,-121.70268888504548,0.2629,19,452,0,N5_L2,IS
N10_L2,10,2.0,10.0,239.77967549187647,0.13617761879708068,0.3670021740472652,2502,472,0.18864908073541167,0.4194915254237288,0.2961433802794,-0.6555937223238477,0.03389830508474576,0.01059322033898305,40.950084941296645,-10.0,139.77967549187682,749.2854527416828,0.29296165409739006,16.495831994548325,0.0382,53,885,0,N10_L2,FULL
N10_L2,10,2.0,10.0,249.7906072593267,0.16294632679434606,0.3333289574873004,2215,402,0.18148984198645599,0.4129353233830846,0.3659915835837006,-0.7944723298515972,0.03980099502487562,0.004975124378109453,40.950084941296645,-10.0,147.12861660064763,667.8000553543221,0.2783284848823651,23.844773103319177,0.0205,50,885,0,N10_L2,IS
N17_L2,17,2.0,5.882352941176471,317.1963424124977,0.1835469684529396,0.3750250098597707,2502,778,0.31095123900879296,0.4074550128534704,0.27917267662274764,-0.398944489281043,0.015424164524421594,0.0,43.347192798130834,-5.882352941176471,217.19634241249767,812.0259860715427,0.19957607166241395,104.50571977876365,0.0008,85,1448,0,N17_L2,FULL
N17_L2,17,2.0,5.882352941176471,330.0502290765713,0.21762352125596784,0.3750250098597707,2215,666,0.30067720090293454,0.4069069069069069,0.33771997424543243,-0.414700486605802,0.018018018018018018,0.0,43.347192798130834,-5.882352941176471,224.921502847458,734.4778999288886,0.19272142613918486,112.23088021372365,0.0003,79,1448,0,N17_L2,IS
N25_L2,25,2.0,4.0,264.5717455282113,0.15261496110669137,0.362465513869197,2502,1130,0.451638689048761,0.4168141592920354,0.14563871285682406,-0.2929517739701206,0.0035398230088495575,0.0,18.31040462696715,-4.0,164.57174552821118,786.3948691324964,0.11126092494308719,95.51594634642646,0.0002,112,2114,0,N25_L2,FULL
N25_L2,25,2.0,4.0,252.05413057306058,0.16467752883749198,0.362465513869197,2215,967,0.436568848758465,0.4126163391933816,0.16190008234634906,-0.3199707037920722,0.004136504653567736,0.0,18.31040462696715,-4.0,156.55737962891953,684.7216235071598,0.11695650930264306,87.50158044713461,0.0003,105,2114,0,N25_L2,IS
N40_L2,40,2.0,2.5,222.84943660850092,0.12409714034582575,0.4246536527192175,2502,1776,0.709832134292566,0.40878378378378377,0.0691719800723539,-0.1987085032379882,0.0016891891891891893,0.0,11.444002891854467,-2.5,122.84943660850051,765.6384280648955,0.09315470390250535,74.46833082838452,0.0005,143,3346,0,N40_L2,FULL
N40_L2,40,2.0,2.5,223.31462973849287,0.14165764939121295,0.4246536527192175,2215,1516,0.6844243792325057,0.4050131926121372,0.07998073454907202,-0.20471671575470823,0.001978891820580475,0.0,11.444002891854467,-2.5,121.25079357639318,665.7020602519992,0.09438291127261164,72.86968779627615,0.0001,124,3346,0,N40_L2,IS
Nall_L2,259,2.0,0.3861003861003861,165.16780992621244,0.07600292439405076,0.20441509728431084,2502,5140,2.0543565147881693,0.40603112840466926,0.012678562242453829,-0.028263363469483896,0.0,0.0,8.11767995242968,-0.3861003861003861,65.16780992621268,349.32112902863247,0.1245657934741256,47.28232495231023,0.0,264,10035,0,Nall_L2,FULL
Nall_L2,259,2.0,0.3861003861003861,141.0846275757843,0.058397890747905024,0.17316039651007553,2215,3783,1.7079006772009029,0.40311921755220725,0.015353621834806742,-0.029719559670212604,0.0,0.0,8.11767995242968,-0.3861003861003861,58.08275140107391,261.19546923659567,0.13976059598787516,40.197266427168316,0.0,185,10035,0,Nall_L2,IS
ROT_L2,1,2.0,100.0,731.3735891721863,0.3370567104061182,0.3855984545367065,2502,89,0.03557154276578737,0.4044943820224719,7.094085271597604,-8.080349360060197,0.3258426966292135,0.449438202247191,207.4182610818836,-82.69202253388409,631.3735891721867,1912.8461576105356,0.32851906484374177,-90.1509341089072,0.4518,45,10035,0,ROT_L2,FULL
ROT_L2,1,2.0,100.0,630.326328818425,0.3547123155873795,0.3814452724377858,2215,78,0.035214446952595936,0.41025641025641024,8.260957825761228,-7.525217232035782,0.3333333333333333,0.4358974358974359,207.4182610818836,-82.69202253388409,644.3547104093758,1755.631037445773,0.32190074462263996,-77.16981287171745,0.414,38,10035,0,ROT_L2,IS
