symbol,strategy,L,train_net,test_net,train_trades,test_trades,test_MDD,liquidated,funding_paid,all_pass,vol
MSTRUSDT,F_fade,5,0.0,-0.1098061610564518,0,12,0.2924524496623453,False,-21.365380276556024,False,13931363.1699
MSTRUSDT,F_flip,2,0.0,0.0,0,0,0.0,False,0.0,False,13931363.1699
MSTRUSDT,F_flip,3,0.0,0.0,0,0,0.0,False,0.0,False,13931363.1699
MSTRUSDT,F_flip,5,0.0,0.0,0,0,0.0,False,0.0,False,13931363.1699
MUUSDT,F_fade,2,-1.0,-0.07775141253203444,0,8,0.27134802867605345,False,-5.833064732487964,False,139334013.8553
MUUSDT,F_fade,3,-1.0,-0.12758092776471397,0,8,0.3849533808985792,False,-8.542141352748047,False,139334013.8553
MUUSDT,F_fade,5,-1.0,-0.2437182859110104,0,8,0.5723798128335154,False,-13.536238511964758,False,139334013.8553
MUUSDT,F_flip,2,0.0,0.0,0,0,0.0,False,0.0,False,139334013.8553
MUUSDT,F_flip,3,0.0,0.0,0,0,0.0,False,0.0,False,139334013.8553
MUUSDT,F_flip,5,0.0,0.0,0,0,0.0,False,0.0,False,139334013.8553
MYXUSDT,F_fade,2,0.0,-0.8039359759937713,0,76,0.8756266308066563,False,-4.109151611421889,False,1399112.1408
MYXUSDT,F_fade,3,0.0,-0.937146372453806,0,76,0.9651762896026003,False,-5.19999454625295,False,1399112.1408
MYXUSDT,F_fade,5,0.0,-1.0,0,27,1.0,True,-6.607053446538603,False,1399112.1408
MYXUSDT,F_flip,2,0.0,0.0,0,0,0.0,False,0.0,False,1399112.1408
MYXUSDT,F_flip,3,0.0,0.0,0,0,0.0,False,0.0,False,1399112.1408
MYXUSDT,F_flip,5,0.0,0.0,0,0,0.0,False,0.0,False,1399112.1408
NATGASUSDT,F_fade,2,0.11855510034489458,-0.08117348249720235,14,3,0.15423037959041508,False,-10.52675998019113,False,1087205.7482
NATGASUSDT,F_fade,3,0.1724403082128152,-0.12188955066233409,14,3,0.22390136478212264,False,-15.19499193596714,False,1087205.7482
NATGASUSDT,F_fade,5,0.2641962932492301,-0.20296408975789515,14,3,0.3495470138576223,False,-23.38578289645655,False,1087205.7482
NATGASUSDT,F_flip,2,-0.008329652184756897,0.0,1,0,0.0,False,0.0,False,1087205.7482
NATGASUSDT,F_flip,3,-0.012504716580138853,0.0,1,0,0.0,False,0.0,False,1087205.7482
NATGASUSDT,F_flip,5,-0.020874204106549943,0.0,1,0,0.0,False,0.0,False,1087205.7482
NBISUSDT,F_fade,2,-0.7165504571775334,-0.2002200241191121,21,1,0.22690466481196292,False,0.0,False,6740511.3775
NBISUSDT,F_fade,3,-0.8646515831473771,-0.2971639135279567,21,1,0.33075648174371186,False,0.0,False,6740511.3775
NBISUSDT,F_fade,5,-0.9765091673699463,-0.4826305323470882,21,1,0.5200998951663918,False,0.0,False,6740511.3775
NBISUSDT,F_flip,2,0.0,0.0,0,0,0.0,False,0.0,False,6740511.3775
NBISUSDT,F_flip,3,0.0,0.0,0,0,0.0,False,0.0,False,6740511.3775
NBISUSDT,F_flip,5,0.0,0.0,0,0,0.0,False,0.0,False,6740511.3775
NEARUSDT,F_fade,2,0.0,-0.2115802657127106,0,76,0.5693828127885951,False,-2.1600113892101764,False,11606108.765
NEARUSDT,F_fade,3,0.0,-0.3912937372963756,0,76,0.7322142573238437,False,-2.9297957242642494,False,11606108.765
NEARUSDT,F_fade,5,0.0,-0.7276399852244609,0,76,0.9093250317975079,False,-3.5764561583835777,False,11606108.765
NEARUSDT,F_flip,2,0.0,-0.27671033414078183,0,6,0.4767814730305554,False,-0.8082521324772486,False,11606108.765
NEARUSDT,F_flip,3,0.0,-0.42551550946795447,0,6,0.6342704787284599,False,-1.049750371907347,False,11606108.765
NEARUSDT,F_flip,5,0.0,-0.6854553383603906,0,6,0.8345788364335639,False,-1.2205155777028824,False,11606108.765
NVDAUSDT,F_fade,2,0.0,-0.07630463226270368,0,7,0.1734607980297177,False,-15.356089474440894,False,10850608.1378
NVDAUSDT,F_fade,3,0.0,-0.11675564367944047,0,7,0.25117975299720663,False,-22.42371530261956,False,10850608.1378
NVDAUSDT,F_fade,5,0.0,-0.20075981489992112,0,7,0.3897941653861833,False,-35.371383196609585,False,10850608.1378
NVDAUSDT,F_flip,2,0.0,0.0,0,0,0.0,False,0.0,False,10850608.1378
NVDAUSDT,F_flip,3,0.0,0.0,0,0,0.0,False,0.0,False,10850608.1378
NVDAUSDT,F_flip,5,0.0,0.0,0,0,0.0,False,0.0,False,10850608.1378
ONDOUSDT,F_fade,2,0.0,-0.6547198313463942,0,168,0.6663438501514345,False,-3.066574194063284,False,43013420.72662
ONDOUSDT,F_fade,3,0.0,-0.8360999830349674,0,168,0.8441576768384467,False,-3.3428461898907353,False,43013420.72662
ONDOUSDT,F_fade,5,0.0,-0.9765341751472588,0,168,0.9783567610702368,False,-3.0615177161191367,False,43013420.72662
ONDOUSDT,F_flip,2,0.0,0.17662743035248196,0,18,0.48841233785846305,False,-0.14268679358164357,False,43013420.72662
ONDOUSDT,F_flip,3,0.0,-1.0,0,4,1.0,True,0.9103717154585321,False,43013420.72662
ONDOUSDT,F_flip,5,0.0,-1.0,0,4,1.0,True,1.2693573556391022,False,43013420.72662
OPNUSDT,F_fade,2,-0.5131546403827154,-1.0,82,43,1.0,True,-1.2534561008368983,False,1195238.85925
OPNUSDT,F_fade,3,-0.6822792916774377,-1.0,82,43,1.0,True,-1.7964406372129804,False,1195238.85925
OPNUSDT,F_fade,5,-0.8817659737981706,-1.0,82,43,1.0,True,-2.715128617320284,False,1195238.85925
OPNUSDT,F_flip,2,0.007435599741593579,0.17432609862359527,2,5,0.34707464202935523,False,-0.5170484804431041,False,1195238.85925
OPNUSDT,F_flip,3,-0.012358723942747951,0.17303714180584007,2,5,0.4871174692997775,False,-0.7823594010577306,False,1195238.85925
OPNUSDT,F_flip,5,-0.09416259210517086,-0.00321195456369483,2,5,0.7020224418061465,False,-1.1092507359728045,False,1195238.85925
OPUSDT,F_fade,2,0.0,1.0392663779797742,0,96,0.3157815843617653,False,-3.793923846837586,False,2385480.54654
OPUSDT,F_fade,3,0.0,1.5584690018064893,0,96,0.44629601161070354,False,-6.6855446703952515,False,2385480.54654
OPUSDT,F_fade,5,0.0,2.0963879965105314,0,96,0.6536856324292957,False,-13.295287391433199,False,2385480.54654
OPUSDT,F_flip,2,0.0,-0.21612301306706583,0,8,0.40790285565322215,False,-1.6037596400984118,False,2385480.54654
OPUSDT,F_flip,3,0.0,-0.34476172589044796,0,8,0.5625662015773873,False,-2.179367614374828,False,2385480.54654
OPUSDT,F_flip,5,0.0,-0.5932339381696454,0,8,0.7806222825734143,False,-2.81953122060525,False,2385480.54654
ORCLUSDT,F_fade,2,0.0,-0.29027487626077053,0,25,0.33354641308113386,False,-7.2001858522944024,False,3818056.3618
ORCLUSDT,F_fade,3,0.0,-0.4154997846420402,0,25,0.46554998263789393,False,-9.789268322055985,False,3818056.3618
ORCLUSDT,F_fade,5,0.0,-0.6212593070280097,0,25,0.6685696882439627,False,-13.00973088354205,False,3818056.3618
ORCLUSDT,F_flip,2,0.0,0.0,0,0,0.0,False,0.0,False,3818056.3618
ORCLUSDT,F_flip,3,0.0,0.0,0,0,0.0,False,0.0,False,3818056.3618
ORCLUSDT,F_flip,5,0.0,0.0,0,0,0.0,False,0.0,False,3818056.3618
ORDIUSDT,F_fade,2,0.0,-0.8935226955761695,0,205,0.8993262717407322,False,-1.6800821042726921,False,6162260.18786
ORDIUSDT,F_fade,3,0.0,-0.9722663726498534,0,205,0.9744874374002543,False,-1.513146621967245,False,6162260.18786
ORDIUSDT,F_fade,5,0.0,-1.0,0,25,1.0,True,-0.7961666235509781,False,6162260.18786
ORDIUSDT,F_flip,2,0.0,0.9585714619711785,0,14,0.4155697161138331,False,-0.761868777367788,False,6162260.18786
ORDIUSDT,F_flip,3,0.0,1.4875661271462013,0,14,0.5639438267410474,False,-1.4096087226765042,False,6162260.18786
ORDIUSDT,F_flip,5,0.0,2.3156876627609386,0,14,0.7782785758412978,False,-3.2215671814491573,False,6162260.18786
PAXGUSDT,F_fade,2,0.0,-0.1394959898570043,0,54,0.20744529804328626,False,-3.5371922894692163,False,5546809.80588
PAXGUSDT,F_fade,3,0.0,-0.20787203233170037,0,54,0.2982908906480882,False,-5.201602505499693,False,5546809.80588
PAXGUSDT,F_fade,5,0.0,-0.33908621189938337,0,54,0.456043240949762,False,-8.317461378388884,False,5546809.80588
PAXGUSDT,F_flip,2,0.0,0.0793542472112383,0,19,0.09667373417317537,False,-0.48597897058480216,False,5546809.80588
PAXGUSDT,F_flip,3,0.0,0.11498039415766015,0,19,0.14179489305995063,False,-0.7500306029296335,False,5546809.80588
PAXGUSDT,F_flip,5,0.0,0.1763916587441936,0,19,0.2278294959863688,False,-1.3146731724874217,False,5546809.80588
PENDLEUSDT,F_fade,2,0.0,-0.38238698862910336,0,96,0.5403834489528636,False,-3.141159719973433,False,1676567.7667
PENDLEUSDT,F_fade,3,0.0,-0.6010176266996827,0,96,0.721113817285317,False,-3.593639911336945,False,1676567.7667
PENDLEUSDT,F_fade,5,0.0,-0.8882070121993011,0,96,0.9259857966229236,False,-3.096928776466493,False,1676567.7667
PENDLEUSDT,F_flip,2,0.0,-0.5356659313955298,0,10,0.6802437813784739,False,-1.5905989646254706,False,1676567.7667
PENDLEUSDT,F_flip,3,0.0,-0.7164254011230076,0,10,0.8352081767605518,False,-1.8339516211119185,False,1676567.7667
PENDLEUSDT,F_flip,5,0.0,-0.9154725767878696,0,10,0.9638342501220143,False,-1.8899142275205716,False,1676567.7667
PENGUUSDT,F_fade,2,0.0,-0.344786061657809,0,131,0.562508898284528,False,-3.601170601455982,False,5063500.298611
PENGUUSDT,F_fade,3,0.0,-0.5527256426513563,0,131,0.7470453002763155,False,-4.439397567457498,False,5063500.298611
PENGUUSDT,F_fade,5,0.0,-0.8538651688516589,0,131,0.938157793935218,False,-4.632997469785059,False,5063500.298611
PENGUUSDT,F_flip,2,0.0,-0.20062399489149285,0,15,0.41497152139000826,False,0.39233677555511426,False,5063500.298611
PENGUUSDT,F_flip,3,0.0,-0.3419340417720539,0,15,0.573881632496716,False,0.5231313309356036,False,5063500.298611
PENGUUSDT,F_flip,5,0.0,-0.6232127413334719,0,15,0.7955944135841047,False,0.6336585541571704,False,5063500.298611
PEPEUSDT,F_fade,2,0.0,0.05473461236453869,0,53,0.36327461944785766,False,-2.4177581631769174,False,24730757.9416899
PEPEUSDT,F_fade,3,0.0,0.002164453102095454,0,53,0.49676853005133215,False,-3.428188825170757,False,24730757.9416899
PEPEUSDT,F_fade,5,0.0,-1.0,0,44,1.0,True,-4.0860529394767875,False,24730757.9416899
PEPEUSDT,F_flip,2,0.0,0.10765871863449483,0,3,0.10275137854421146,False,-0.07341360274665455,False,24730757.9416899
PEPEUSDT,F_flip,3,0.0,0.15494109395736277,0,3,0.1519146484818984,False,-0.0987041531892878,False,24730757.9416899
PEPEUSDT,F_flip,5,0.0,0.23305425326428963,0,3,0.24561018249721722,False,-0.12638275857819184,False,24730757.9416899
PIUSDT,F_fade,2,0.0,-0.8069453520694252,0,179,0.8293528399589988,False,-4.390556353057292,False,6538224.8374
PIUSDT,F_fade,3,0.0,-0.9231716969385497,0,179,0.9336065236066918,False,-4.8330956854051985,False,6538224.8374
PIUSDT,F_fade,5,0.0,-0.9901002706558804,0,179,0.9917080436982783,False,-5.388122336588109,False,6538224.8374
PIUSDT,F_flip,2,0.0,0.26857467880199337,0,19,0.31473411092747006,False,1.5757941113232647,False,6538224.8374
PIUSDT,F_flip,3,0.0,0.3820160523425107,0,19,0.4366162510224242,False,2.473691413352361,False,6538224.8374
PIUSDT,F_flip,5,0.0,0.5370510419981882,0,19,0.6245497001921785,False,4.374105481268787,False,6538224.8374
PLTRUSDT,F_fade,2,0.0,0.003939053853695862,0,6,0.08210088985376718,False,-8.134687519421357,False,3898649.7643
PLTRUSDT,F_fade,3,0.0,0.0010385963518222407,0,6,0.12181734020326485,False,-12.100438839534146,False,3898649.7643
PLTRUSDT,F_fade,5,0.0,-0.014453833286734774,0,6,0.1986033677064335,False,-19.790232854626474,False,3898649.7643
